Timestamp,Alert_Type,Alert_Level,EAR,MAR,Head_Deviation,Latency_MS
2026-05-30 19:17:55.633,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.5
2026-05-30 19:17:55.667,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.2
2026-05-30 19:17:55.702,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.9
2026-05-30 19:17:55.734,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.3
2026-05-30 19:17:55.770,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,15.6
2026-05-30 19:17:55.804,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.7
2026-05-30 19:17:55.834,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.1
2026-05-30 19:17:55.867,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,14.1
2026-05-30 19:17:55.900,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.1
2026-05-30 19:17:55.931,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.4
2026-05-30 19:17:55.963,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.6
2026-05-30 19:17:55.995,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.1
2026-05-30 19:17:56.030,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,14.6
2026-05-30 19:17:56.064,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,14.9
2026-05-30 19:17:56.098,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.7
2026-05-30 19:17:56.149,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.8
2026-05-30 19:17:56.181,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.4
2026-05-30 19:17:56.215,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.0
2026-05-30 19:17:56.250,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,14.4
2026-05-30 19:17:56.314,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,10.7
2026-05-30 19:17:56.346,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.2
2026-05-30 19:17:56.377,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.9
2026-05-30 19:17:56.431,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.0
2026-05-30 19:17:56.465,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,14.2
2026-05-30 19:17:56.499,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.4
2026-05-30 19:17:56.532,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.5
2026-05-30 19:17:56.563,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.2
2026-05-30 19:17:56.597,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,13.3
2026-05-30 19:17:56.629,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,12.4
2026-05-30 19:17:56.665,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,15.8
2026-05-30 19:17:56.699,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,14.1
2026-05-30 19:17:56.730,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.9
2026-05-30 19:17:56.760,CRITICAL ALERT: FACE LOST,2,0.0,0.0,0.0,11.7
